"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
22, 8.644843102000001e-01, -3.426751493000000e-01, 8.994675376432826e-01, -6.984435148943069e-01, -1.811966978219579e-02, -1.927296377626105e-02, 0.000000000000000e+00
4444, 8.588536952942269e-01, -3.481724075421230e-01, 8.993393374088609e-01, -7.039842129016373e-01, -1.648066774221280e-02, -1.705981411415291e-02, 0.000000000000000e+00
23, 8.535534143000000e-01, -3.539901673000000e-01, 8.992128627664487e-01, -7.094503323853614e-01, -1.599138324394006e-02, -1.597173866207514e-02, 0.000000000000000e+00
3974, 8.477310406542677e-01, -3.592813985798597e-01, 8.990783207003362e-01, -7.152651186139067e-01, -1.410756331092946e-02, -1.370665401641953e-02, 0.000000000000000e+00
24, 8.422734737000001e-01, -3.649495541000000e-01, 8.989480074267975e-01, -7.208971402578735e-01, -1.327889226778700e-02, -1.245388682432685e-02, 0.000000000000000e+00
5090, 8.362696057951486e-01, -3.700307449636791e-01, 8.988069098514909e-01, -7.269952496557742e-01, -1.117692069080745e-02, -1.018992072352484e-02, 0.000000000000000e+00
25, 8.306558728000000e-01, -3.755412399000000e-01, 8.986727908864380e-01, -7.327917498397691e-01, -9.934175491502543e-03, -8.746879942751463e-03, 0.000000000000000e+00
4502, 8.244813575387951e-01, -3.804101058197332e-01, 8.985250814331778e-01, -7.391756186137585e-01, -7.642933163480654e-03, -6.535158872795801e-03, 0.000000000000000e+00
26, 8.187119961000000e-01, -3.857539593000000e-01, 8.983870946517795e-01, -7.451392823167164e-01, -5.908756910059637e-03, -4.881876625690233e-03, 0.000000000000000e+00
4145, 8.123781664826624e-01, -3.904098885849718e-01, 8.982328979839150e-01, -7.518035226297483e-01, -3.457176114497521e-03, -2.770390505163858e-03, 0.000000000000000e+00
27, 8.064535260000000e-01, -3.955772220000000e-01, 8.980910918983571e-01, -7.579322531989406e-01, -1.156838067509420e-03, -8.962071544315440e-04, 0.000000000000000e+00
3525, 7.999719085942303e-01, -4.000210670131447e-01, 8.979307871474616e-01, -7.648604793278480e-01, 1.430358979399446e-03, 1.073171391573605e-03, 0.000000000000000e+00
28, 7.938926220000000e-01, -4.050014316000000e-01, 8.977850566886691e-01, -7.711588177535190e-01, 4.367520391719848e-03, 3.169342745342949e-03, 0.000000000000000e+00
3512, 7.872744205973181e-01, -4.092351491141434e-01, 8.976190682363544e-01, -7.783326883094398e-01, 7.075641779276677e-03, 4.964448640172607e-03, 0.000000000000000e+00
29, 7.810416818000000e-01, -4.140179752000000e-01, 8.974694795681876e-01, -7.847977750494896e-01, 1.070755324639884e-02, 7.268478626551450e-03, 0.000000000000000e+00
4258, 7.742975260245430e-01, -4.180440972156110e-01, 8.972985263706473e-01, -7.921862173969663e-01, 1.353203476504895e-02, 8.865468459404576e-03, 0.000000000000000e+00
30, 7.679134010999999e-01, -4.226189255000000e-01, 8.971450879838928e-01, -7.988176854872827e-01, 1.790167433627562e-02, 1.134855096293229e-02, 0.000000000000000e+00
4164, 7.610531396253641e-01, -4.264402165506206e-01, 8.969699981334065e-01, -8.063849102280890e-01, 2.085176919385433e-02, 1.273293155303385e-02, 0.000000000000000e+00
31, 7.545207143000000e-01, -4.307970404000000e-01, 8.968129188864357e-01, -8.131737329990462e-01, 2.598390307203472e-02, 1.535166791667682e-02, 0.000000000000000e+00
4664, 7.475533041569711e-01, -4.344161157242745e-01, 8.966346751469955e-01, -8.208772659636321e-01, 2.908335390653988e-02, 1.651756110815610e-02, -0.000000000000000e+00
